geneId	geneSymbol	geneName	diseaseId	diseaseName	score	NumberOfPubmeds	associationType	source
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide	umls:C0019202	Hepatolenticular Degeneration	0.98987635081179	229	GeneticVariation	UNIPROT, CTD_human, MGD, RGD, GAD, LHGDN, BeFree
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide	umls:C0019202	Hepatolenticular Degeneration	0.98987635081179	229	Biomarker	UNIPROT, CTD_human, MGD, RGD, GAD, LHGDN, BeFree
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide	umls:C0019202	Hepatolenticular Degeneration	0.98987635081179	229	AlteredExpression	UNIPROT, CTD_human, MGD, RGD, GAD, LHGDN, BeFree
4160	MC4R	melanocortin 4 receptor	umls:C0028754	Obesity	0.94	234	GeneticVariation	UNIPROT, CTD_human, MGD, RGD, GAD, BeFree
4160	MC4R	melanocortin 4 receptor	umls:C0028754	Obesity	0.94	234	Biomarker	UNIPROT, CTD_human, MGD, RGD, GAD, BeFree
3667	IRS1	insulin receptor substrate 1	umls:C0011860	Diabetes Mellitus, Type 2	0.907765918380142	106	GeneticVariation	UNIPROT, CTD_human, MGD, RGD, GAD, BeFree
3667	IRS1	insulin receptor substrate 1	umls:C0011860	Diabetes Mellitus, Type 2	0.907765918380142	106	Biomarker	UNIPROT, CTD_human, MGD, RGD, GAD, BeFree
4204	MECP2	methyl CpG binding protein 2 (Rett syndrome)	umls:C0035372	Rett Syndrome	0.9	463	GeneticVariation	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4204	MECP2	methyl CpG binding protein 2 (Rett syndrome)	umls:C0035372	Rett Syndrome	0.9	463	Biomarker	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4204	MECP2	methyl CpG binding protein 2 (Rett syndrome)	umls:C0035372	Rett Syndrome	0.9	463	PostTranslationalModification	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4204	MECP2	methyl CpG binding protein 2 (Rett syndrome)	umls:C0035372	Rett Syndrome	0.9	463	AlteredExpression	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
1080	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	umls:C0010674	Cystic Fibrosis	0.9	1577	GeneticVariation	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
1080	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	umls:C0010674	Cystic Fibrosis	0.9	1577	Biomarker	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
1080	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	umls:C0010674	Cystic Fibrosis	0.9	1577	AlteredExpression	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
351	APP	amyloid beta (A4) precursor protein	umls:C0002395	Alzheimer Disease	0.882098944317947	1206	GeneticVariation	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
351	APP	amyloid beta (A4) precursor protein	umls:C0002395	Alzheimer Disease	0.882098944317947	1206	Biomarker	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
351	APP	amyloid beta (A4) precursor protein	umls:C0002395	Alzheimer Disease	0.882098944317947	1206	AlteredExpression	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
351	APP	amyloid beta (A4) precursor protein	umls:C0002395	Alzheimer Disease	0.882098944317947	1206	PostTranslationalModification	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
5621	PRNP	prion protein	umls:C0022336	Creutzfeldt-Jakob Syndrome	0.873126274813283	309	GeneticVariation	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
5621	PRNP	prion protein	umls:C0022336	Creutzfeldt-Jakob Syndrome	0.873126274813283	309	Biomarker	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
5621	PRNP	prion protein	umls:C0022336	Creutzfeldt-Jakob Syndrome	0.873126274813283	309	AlteredExpression	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4210	MEFV	Mediterranean fever	umls:C0031069	Familial Mediterranean Fever	0.870222893842086	306	GeneticVariation	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4210	MEFV	Mediterranean fever	umls:C0031069	Familial Mediterranean Fever	0.870222893842086	306	Biomarker	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
4210	MEFV	Mediterranean fever	umls:C0031069	Familial Mediterranean Fever	0.870222893842086	306	AlteredExpression	UNIPROT, CTD_human, MGD, GAD, LHGDN, BeFree
